"filename", "language", "Makefile", "C++", "Python", "Markdown", "XML", "comment", "blank", "total"
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/Configuration.h", "C++", 0, -605, 0, 0, 0, -2131, -450, -3186
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/Configuration_adv.h", "C++", 0, -1426, 0, 0, 0, -2386, -550, -4362
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/Makefile", "Makefile", -588, 0, 0, 0, 0, -322, -126, -1036
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/Marlin.ino", "C++", 0, 0, 0, 0, 0, -57, -1, -58
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/Version.h", "C++", 0, -1, 0, 0, 0, -66, -10, -77
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/HAL.h", "C++", 0, -17, 0, 0, 0, -23, -8, -48
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/HAL.cpp", "C++", 0, -119, 0, 0, 0, -39, -37, -195
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/HAL.h", "C++", 0, -155, 0, 0, 0, -74, -54, -283
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/HAL_SPI.cpp", "C++", 0, -112, 0, 0, 0, -86, -34, -232
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/MarlinSPI.cpp", "C++", 0, -121, 0, 0, 0, -30, -24, -175
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/MarlinSPI.h", "C++", 0, -52, 0, 0, 0, -42, -14, -108
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/MarlinSerial.cpp", "C++", 0, -68, 0, 0, 0, -28, -15, -111
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/MarlinSerial.h", "C++", 0, -29, 0, 0, 0, -21, -10, -60
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/MinSerial.cpp", "C++", 0, -98, 0, 0, 0, -35, -21, -154
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/README.md", "Markdown", 0, 0, 0, -8, 0, 0, -4, -12
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/Servo.cpp", "C++", 0, -67, 0, 0, 0, -28, -18, -113
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/Servo.h", "C++", 0, -23, 0, 0, 0, -23, -9, -55
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/eeprom_bl24cxx.cpp", "C++", 0, -44, 0, 0, 0, -28, -14, -86
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/eeprom_flash.cpp", "C++", 0, -177, 0, 0, 0, -52, -49, -278
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/eeprom_if_iic.cpp", "C++", 0, -17, 0, 0, 0, -28, -12, -57
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/eeprom_sdcard.cpp", "C++", 0, -53, 0, 0, 0, -24, -18, -95
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/eeprom_sram.cpp", "C++", 0, -34, 0, 0, 0, -24, -13, -71
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/eeprom_wired.cpp", "C++", 0, -43, 0, 0, 0, -27, -11, -81
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/endstop_interrupts.h", "C++", 0, -29, 0, 0, 0, -23, -4, -56
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/fast_pwm.cpp", "C++", 0, -50, 0, 0, 0, -25, -14, -89
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/fastio.cpp", "C++", 0, -9, 0, 0, 0, -22, -6, -37
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/fastio.h", "C++", 0, -38, 0, 0, 0, -36, -18, -92
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/inc/Conditionals_LCD.h", "C++", 0, -1, 0, 0, 0, -21, -1, -23
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/inc/Conditionals_adv.h", "C++", 0, -9, 0, 0, 0, -23, -4, -36
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/inc/Conditionals_post.h", "C++", 0, -6, 0, 0, 0, -22, -2, -30
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/inc/SanityCheck.h", "C++", 0, -23, 0, 0, 0, -27, -8, -58
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/msc_sd.cpp", "C++", 0, -90, 0, 0, 0, -21, -20, -131
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/msc_sd.h", "C++", 0, -2, 0, 0, 0, -15, -2, -19
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/pinsDebug.h", "C++", 0, -172, 0, 0, 0, -82, -30, -284
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/pins_Xref.h", "C++", 0, -576, 0, 0, 0, -24, -13, -613
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/sdio.cpp", "C++", 0, -287, 0, 0, 0, -83, -82, -452
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/sdio.h", "C++", 0, -7, 0, 0, 0, -21, -2, -30
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/spi_pins.h", "C++", 0, -13, 0, 0, 0, -24, -2, -39
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/tft/gt911.cpp", "C++", 0, -145, 0, 0, 0, -27, -37, -209
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/tft/gt911.h", "C++", 0, -88, 0, 0, 0, -22, -11, -121
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/tft/tft_fsmc.cpp", "C++", 0, -123, 0, 0, 0, -27, -25, -175
"/home/sanjay/Desktop/Bitbucket/MarlinV2_morphle/Marlin/src/HAL/STM32/tft/tft_fsmc.h", "C++", 0, -132, 0, 0, 0, -21, -19, -172
